優惠名稱,促銷描述,開始日期,結束日期,適用卡片範疇
ViVi PARK,*中信卡紅利點數每10點折抵NT1元，限全額折抵,2023/01/01,2023/12/31,所有卡
海邊走走(淡水總店),"*中信卡紅利數點每1,000點折抵NT80元，折抵上限100%",2023/01/01,2023/12/31,所有卡
海邊走走－淡水二店,"*中信卡紅利數點每1,000點折抵NT80元，折抵上限100%",2023/01/01,2023/12/31,所有卡
白永恩神父基金會,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限最高為單筆捐款金額100%。",2023/01/01,2023/12/31,所有卡
BEING spa,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限最高為單筆金額100%。",2023/01/01,2023/12/31,所有卡
BEING sport,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限最高為單筆金額100%。",2023/01/01,2023/12/31,所有卡
BEING fit,"*中信卡紅利點數每1,000點折抵NT80元，折抵上限最高為單筆金額100%。",2023/01/01,2023/12/31,所有卡
ASUS Store,"刷中信卡滿額贈購物金1,000元，再享分期0利率",2023/03/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上
喜滿客影城,享平日2D電影220元起，天天套票優惠280元起，紅利點數每100點可折抵8元，折抵無上限。,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
國家表演藝術中心衛武營國家藝術文化中心,現場、網路刷中信卡（含簽帳卡），享95折優惠,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
廣藝基金會,現場、網路刷中信卡（含簽帳卡），享9~95折優惠（依展演實際折數為主）,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
臺中國家歌劇院,現場、網路刷中信卡（含簽帳卡），享9折優惠,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
高雄環球影城,不分平假日，可享2D/3D早場優惠票價。(限當日場次、每日每卡限購六張),2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
聯合數位文創,現場、網路刷中信卡（含簽帳卡），享92~95折優惠（依展演實際折數為主）,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
刷保費最高18期0利率,刷中信卡繳保費，保費每筆滿額享自動分期優惠：不限金額享分6/12期0利率、單筆NT1萬元(含)以上享分18期0利率！,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
安徒生和莫札特的創意劇場,網路刷中信卡（含簽帳卡），享95折優惠,2023/01/01,2023/12/31,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
優人神鼓 墨具五色,購票刷中信卡（含簽帳卡），享9折優惠,2023/06/15,2023/12/10,鼎極卡/鈦金/御璽/晶緻卡/聯名認同卡/白金卡以上/所有卡
